Ref,Val,Package,PosX,PosY,Rot,Side
"U10","DW01_C917079","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",151.975037,-80.189098,0.000000,bottom
"U11","FTC252010S1R0MBCA","IND-SMD_L2.5-W2.0_FTC252010S",239.035000,-68.469753,90.000000,bottom
"U12","TPS61023DRLR","DRL0006A",241.944998,-67.619754,90.000000,bottom
"U13","AO3400C","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",149.510000,-74.457468,-90.000000,bottom
"U14","TMUX1574RSVR","UQFN-16_L2.6-W1.8-P0.40-BL",177.905000,-63.975000,90.000000,bottom
"U15","BH-18650-B1BA002","BATTERY-SMD_18650-1S-L77.1-W20.7-1",198.633183,-76.230000,-90.000000,bottom
"U16","HM1160","TSOT-23-6_HandSoldering",173.510000,-62.690000,-90.000000,bottom
"U32","LCK-TF-027H30008-WLG","TF-SMD_HYCW104-TF08-375B",151.885000,-69.380000,0.000000,bottom
"U40","ZX-MX1_25-7PZZ","CONN-TH_7P-P1.25_ZX-MX1.25-7PZZ",161.359936,-88.150000,180.000000,bottom
"U41","ZX-MX1_25-3PZZ","CONN-TH_3P-P1.25_ZX-MX1.25-3PZZ",189.560064,-88.120000,180.000000,bottom
"U42","LMV331IDBVR","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",144.430000,-75.230000,90.000000,bottom
"U45","TYPEC-303-ACP16","USB-C-SMD_TYPEC-303-ACP16",156.270000,-62.450000,180.000000,bottom
"U57","DSHP-02-TS-GER","SW-SMD_2P-L5.4-W4.1-P1.27-LS8.4",193.800000,-61.950000,-90.000000,bottom
"U59","ZX-MX1.25-3PLT","CONN-SMD_3P-P1.25_MEGASTAR_ZX-MX1.25-3PLT",151.320000,-87.390000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",190.820000,-67.085000,0.000000,top
"C5","100nF","C_0402_1005Metric",184.245000,-64.260000,0.000000,top
"C6","12pF","C_0402_1005Metric",186.790076,-61.844987,90.000000,top
"C7","100nF","C_0402_1005Metric",174.370000,-81.900000,0.000000,top
"C8","100nF","C_0402_1005Metric",173.220000,-65.050000,180.000000,top
"C9","100nF","C_0402_1005Metric",190.290000,-81.785000,0.000000,top
"C10","1uF","C_0402_1005Metric",173.220000,-66.070000,180.000000,top
"C11","12pF","C_0402_1005Metric",192.205000,-64.370000,0.000000,top
"C12","100nF","C_0402_1005Metric",172.660114,-68.049956,90.000000,top
"C13","4.7uF","C_0402_1005Metric",186.060000,-64.855000,180.000000,top
"C17","100nF","C_0402_1005Metric",166.040000,-65.035000,180.000000,top
"C18","1uF","C_0402_1005Metric",166.040000,-64.060000,180.000000,top
"C21","100nF","C_0402_1005Metric",166.045001,-66.010000,180.000000,top
"C22","22uF","C_0603_1608Metric",201.085000,-86.670000,-90.000000,top
"C23","22uF","C_0603_1608Metric",199.629263,-85.121680,90.000000,top
"C24","100nF","C_0402_1005Metric",201.209752,-83.829997,90.000000,top
"C25","100nF","C_0402_1005Metric",199.589936,-87.935081,-90.000000,top
"C26","100nF","C_0402_1005Metric",181.899999,-87.025000,180.000000,top
"C27","1uF","C_0402_1005Metric",182.359999,-85.545000,90.000000,top
"C28","22uF","C_0603_1608Metric",205.535000,-86.425000,-90.000000,top
"C29","22uF","C_0603_1608Metric",194.845000,-85.425000,90.000000,top
"C30","22uF","C_0603_1608Metric",191.620001,-85.625000,-90.000000,top
"C31","22uF","C_0603_1608Metric",207.055000,-86.429999,-90.000000,top
"C32","22uF","C_0603_1608Metric",194.424936,-88.375081,-90.000000,top
"C33","100nF","C_0402_1005Metric",208.270000,-86.560000,-90.000000,top
"C34","100nF","C_0402_1005Metric",193.229936,-88.075081,-90.000000,top
"C35","10nF","C_0402_1005Metric",187.705001,-83.610000,180.000000,top
"C36","22uF","C_0603_1608Metric",190.100000,-85.625000,-90.000000,top
"C37","22uF","C_0603_1608Metric",188.580001,-85.620000,-90.000000,top
"C38","22uF","C_0603_1608Metric",187.060001,-85.615000,-90.000000,top
"C39","22uF","C_0603_1608Metric",169.105000,-81.765000,-90.000000,top
"C40","100nF","C_0402_1005Metric",151.275000,-83.285000,180.000000,top
"C41","33nF","C_0402_1005Metric",151.275000,-81.335000,180.000000,top
"C42","47nF","C_0402_1005Metric",151.275000,-82.310000,180.000000,top
"C43","2.2nF","C_0402_1005Metric",151.265000,-84.309999,180.000000,top
"C44","22uF","C_0603_1608Metric",167.620000,-81.775000,-90.000000,top
"C45","47nF","C_0402_1005Metric",152.700000,-82.835000,-90.000000,top
"C46","47nF","C_0402_1005Metric",151.260000,-85.285000,0.000000,top
"C47","1uF","C_0402_1005Metric",171.350000,-80.595000,-90.000000,top
"C48","10uF","C_0603_1608Metric",154.670000,-88.625000,90.000000,top
"C49","100nF","C_0402_1005Metric",154.420000,-86.630000,0.000000,top
"C50","1uF","C_0402_1005Metric",172.370000,-80.595000,-90.000000,top
"C51","10uF","C_0603_1608Metric",153.855000,-80.060000,180.000000,top
"C52","10uF","C_0603_1608Metric",156.815000,-80.080000,0.000000,top
"C53","100nF","C_0402_1005Metric",168.860000,-72.290000,90.000000,top
"C54","100nF","C_0402_1005Metric",170.900000,-72.280000,90.000000,top
